# ============================================================
# RULES REMAPPED: Thị Trường Trung Quốc / Hongkong
# Nguồn: Rule hiện tại.xlsx → Tuyen tour cần chỉnh.xlsx
# Ghi chú: dấu phẩy trong keyword = AND condition
# ============================================================

Thị Trường      | Tuyến Tour                                                                       | Keyword(s)
----------------+----------------------------------------------------------------------------------+-----------------------------------------

# Liên tuyến Hoa Đông - Hoa Bắc (đổi tên)
Trung Quốc      | Liên tuyến Hoa Đông Hoa Bắc                                                      | bắc kinh, thượng hải

# Hoa Bắc (đổi tên)
Trung Quốc      | Hoa Bắc                   | bắc kinh, vạn lý trường thành
Trung Quốc      | Hoa Bắc                   | bắc kinh
Trung Quốc      | Hoa Bắc                   | huyền không tự
Trung Quốc      | Hoa Bắc                   | khúc phụ
Trung Quốc      | Hoa Bắc                   | ngũ đài sơn
Trung Quốc      | Hoa Bắc                   | thiên an môn
Trung Quốc      | Hoa Bắc                   | thẩm dương
Trung Quốc      | Hoa Bắc                   | trường bạch sơn
Trung Quốc      | Hoa Bắc                   | tần hoàng đảo
Trung Quốc      | Hoa Bắc                   | tế nam
Trung Quốc      | Hoa Bắc                   | tứ đại danh sơn
Trung Quốc      | Hoa Bắc                   | tử cấm thành
Trung Quốc      | Hoa Bắc                   | vạn lý trường thành
Trung Quốc      | Hoa Bắc                   | wtown

# Hoa Đông (đổi tên)
Trung Quốc      | Hoa Đông         | thượng hải, hàng châu, tô châu
Trung Quốc      | Hoa Đông         | thượng hải, hàng châu
Trung Quốc      | Hoa Đông         | du lịch trung quốc
Trung Quốc      | Hoa Đông         | giang nam
Trung Quốc      | Hoa Đông         | hàng châu
Trung Quốc      | Hoa Đông         | khám phá trung quốc
Trung Quốc      | Hoa Đông         | nam kinh
Trung Quốc      | Hoa Đông         | thanh đảo
Trung Quốc      | Hoa Đông         | thượng hải
Trung Quốc      | Hoa Đông         | trung hoa
Trung Quốc      | Hoa Đông         | tô châu
Trung Quốc      | Hoa Đông         | vô tích
Trung Quốc      | Hoa Đông         | ô trấn

# Tứ Xuyên (đổi tên; trùng khánh → entry point Tứ Xuyên)
Trung Quốc      | Tứ Xuyên         | thành đô, cửu trại câu
Trung Quốc      | Tứ Xuyên         | cửu trại câu
Trung Quốc      | Tứ Xuyên         | khang định
Trung Quốc      | Tứ Xuyên         | lôi định
Trung Quốc      | Tứ Xuyên         | nhã giang
Trung Quốc      | Tứ Xuyên         | thành đô
Trung Quốc      | Tứ Xuyên         | trùng khánh
Trung Quốc      | Tứ Xuyên         | tứ xuyên
Trung Quốc      | Tứ Xuyên         | á đinh
Trung Quốc      | Tứ Xuyên         | đạo thành

# Vân Nam (đổi tên)
Trung Quốc      | Vân Nam                 | côn minh, đại lý, lệ giang
Trung Quốc      | Vân Nam                 | côn minh, lệ giang
Trung Quốc      | Vân Nam                 | côn minh
Trung Quốc      | Vân Nam                 | lệ giang
Trung Quốc      | Vân Nam                 | shangrila
Trung Quốc      | Vân Nam                 | vân nam
Trung Quốc      | Vân Nam                 | đại lý

# Đường Bộ Hà Khẩu (tách từ Vân Nam + Trung Quốc đường bộ cũ)
Trung Quốc      | TQ ĐB Hà Khẩu                 | bình biên
